id,type,latitude,longitude,date,killedOrWounded,title,description,sources,imageUrl,imageCaption,videoUrl,videoCaption
1,incident,31.5027639,34.4145389,2024-01-09,10,"7 killed, 3 wounded ",Israeli forces fired on an aid convoy and waiting civilians near the Nabulsi Roundabout in Gaza City.,"<a href=""https://insecurityinsight.org/wp-content/uploads/2024/01/92.-27-December-2023-09-January-2024-Aid-News-Brief.pdf"" target=""_blank"">Insecurity Insight</a>
<br>
<a href=""https://twitter.com/ytirawi/status/1744860354335658117"" target=""_blank"">Younis Tirawi</a>
<br>
<a href=""https://t.me/safaps/185437"" target=""_blank"">Safa</a>",,,,
2,incident,31.504332,34.416062,2024-01-11,62,"12 killed, 50 wounded","Shortly after a World Food Programme convoy delivered aid to Gaza City for the first time in several weeks, Israeli quadcopter drones and tanks fired on civilians collecting aid. Sources vary on the number of casualties, from dozens killed to over 50 killed and dozens wounded. ","<a href=""https://www.wafa.ps/pages/details/87915"" target=""_blank"">Wafa</a><br>
<a href=""https://www.middleeasteye.net/news/after-100-days-war-palestinians-northern-gaza-aid-means-massacre"" target=""_blank"">Middle East Eye</a><br>
<a href=""https://drive.google.com/file/d/1P7yQYp7KC2eG711baOY9Ijwa5nht7a4B/view"" target=""_blank"">Euro-Med Monitor</a><br>",,,,
3,incident,31.504332,34.416062,2024-01-14,4,"2 killed, 2 wounded",Israeli troops opened fire on people waiting for aid on al-Rashid Street in Gaza City. Reports on the number of killed and wounded vary from unknown to as many as five killed. ,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br>
<a href=""https://twitter.com/QudsNen/status/1746558579916542457"" target=""_blank"">Quds</a><br>
<a href=""https://twitter.com/ytirawi/status/1746549113347313923"" target=""_blank"">Younis Tirawi</a><br>
<a href=""https://twitter.com/RamAbdu/status/1746583706427347006"" target=""_blank"">Ramy Abdu</a><br>",,,,
4,incident,31.504332,34.416062,2024-01-18,4,4 killed,Israeli troops opened fire on people waiting for aid on al-Rashid Street in Gaza City. ,"<a href=""https://www.alhaq.org/ar/advocacy/22526.html"" target=""_blank"">al-Haq</a>",,,,
5,incident,31.47977,34.442282,2024-01-22,9,"6 killed, 3 wounded","Artillery fire hits people waiting for aid near the Kuwait Roundabout in Gaza City. Initial casualty reports said two or three killed and ""several"" or more than 10 wounded. The number killed was later reported as six. We recorded six killed and three wounded because we couldn't verify the report of more than 10 wounded. ","<a href=""https://www.aljazeera.net/news/liveblog/2024/1/22/%d8%a7%d9%84%d8%ad%d8%b1%d8%a8-%d8%b9%d9%84%d9%89-%d8%ba%d8%b2%d8%a9-3?update=6208265"" target=""_blank"">Al Jazeera</a><br>
<a href=""https://drive.google.com/file/d/1P7yQYp7KC2eG711baOY9Ijwa5nht7a4B/view"" target=""_blank"">Euro-Med Monitor</a><br>
<a href=""https://twitter.com/QudsNen/status/1749408129929158837"" target=""_blank"">Quds</a><br>",,,,
6,incident,31.47977,34.442282,2024-01-25,170,"20 killed, 150 wounded",At least 20 civilians killed and more than 150 injured after Israeli forces fired on crowds waiting for aid trucks near the Kuwait Roundabout in Gaza City. The Israeli military opened an investigation.,"<a href=""https://reliefweb.int/report/occupied-palestinian-territory/hostilities-gaza-strip-and-israel-flash-update-102-enarhe"" target=""_blank"">OCHA</a><br>
<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br>
<a href=""https://pchrgaza.org/ar/%d9%85%d9%86%d8%b8%d9%85%d8%a7%d8%aa-%d8%ad%d9%82%d9%88%d9%82-%d8%a7%d9%84%d8%a7%d9%86%d8%b3%d8%a7%d9%86-%d8%a7%d9%84%d9%81%d9%84%d8%b3%d8%b7%d9%8a%d9%86%d9%8a%d8%a9-%d8%aa%d8%ad%d8%b0%d9%8a%d8%b1-%d9%85/"" target=""_blank"">PCHR</a><br>
<a href=""https://apnews.com/article/israel-hamas-war-news-01-25-2024-e5592d58f88fd04a87363b0137025926"" target=""_blank"">AP</a><br>
<a href=""https://www.reuters.com/world/middle-east/israeli-tanks-batter-hospital-districts-gazas-khan-younis-2024-01-25/"" target=""_blank"">Reuters</a><br>
<a href=""https://www.aljazeera.com/program/newsfeed/2024/1/25/israeli-forces-open-fire-during-aid-distribution"" target=""_blank"">Al Jazeera</a><br>",,,,
7,event,,,2024-01-26,,International Court of Justice provisional measures order,"The ICJ orders Israel to ""take all measures within its power to prevent"" genocide in Gaza, and to ""take immediate and effective measures"" to enable the delivery of humanitarian aid. The order is part of the case brought by South Africa accusing Israel of committing genocide in Gaza. ",,https://assets.thenewhumanitarian.org/s3fs-public/styles/responsive_large_2x/public/2025-09/01GazaDataIMG.jpg.webp?itok=yCA39nWz,Bassam Masoud/Reuters,,
8,incident,31.47977,34.442282,2024-01-27,2,2 wounded,"Israeli troops opened fire on people waiting for aid near the Kuwait Roundabout in Gaza City. Later reports say three people killed, but it is unclear if they are referring to the same incident. Sources mention ""casualties"". We recorded two wounded based on sources and video evidence.","<a href=""https://twitter.com/QudsNen/status/1751224857168126207"" target=""_blank"">Quds</a><br>
<a href=""https://english.wafa.ps/Pages/Details/141112"" target=""_blank"">Wafa</a><br>",,,,
9,incident,31.47977,34.442282,2024-01-28,50,50 wounded,Israeli troops opened fire on people waiting for aid near the Kuwait Roundabout in Gaza City. ,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br>
<a href=""https://english.wafa.ps/Pages/Details/141136"" target=""_blank"">Wafa</a><br>
<a href=""https://t.me/AjaNews/242807"" target=""_blank"">Al Jazeera</a><br>
<a href=""https://www.facebook.com/watch/?v=1108606663650453"" target=""_blank"">Al Jazeera</a><br>",,,,
10,incident,31.47977,34.442282,2024-01-30,3,3 wounded,Israeli troops opened fire on people waiting for aid near the Kuwait Roundabout in Gaza City. Reports say that several are wounded. We recorded three wounded. ,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br>
<a href=""https://reliefweb.int/report/occupied-palestinian-territory/hostilities-gaza-strip-and-israel-flash-update-107-enarhe"" target=""_blank"">OCHA</a><br>
<a href=""https://twitter.com/QudsNen/status/1752345357755826597"" target=""_blank"">Quds</a><br>",,,,
11,incident,31.47977,34.442282,2024-02-04,2,2 wounded,"Israeli tanks fired on people waiting for aid near the Kuwait Roundabout in Gaza City. Sources report ""a number"" of people killed or wounded and many casualties. We recorded two wounded.  ","<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br>
<a href=""https://reliefweb.int/report/occupied-palestinian-territory/hostilities-gaza-strip-and-israel-flash-update-107-enarhe"" target=""_blank"">OCHA</a><br>
<a href=""https://twitter.com/QudsNen/status/1752345357755826597"" target=""_blank"">Quds</a><br>",,,,
12,incident,31.51262615,34.45247968,2024-02-07,15,"13 killed, 2 wounded","An Israeli airstrike hit people filling water jugs in Gaza City, killing at least 13 and wounding others. ","<a href=""https://www.un.org/unispal/document/hostilities-in-the-gaza-strip-and-israel-flash-update-114-8feb-2024/"" target=""_blank"">OCHA</a><br>
<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br>
<a href=""https://english.wafa.ps/Pages/Details/141447"" target=""_blank"">Wafa</a><br>",,,,
13,incident,31.47977,34.442282,2024-02-07,8,"2 killed, 6 wounded","Israeli troops opened fire on people waiting for aid near the Kuwait Roundabout in Gaza City. Sources report various casualty counts, from one to five killed and an unknown number to six wounded. ","<a href=""https://reliefweb.int/report/occupied-palestinian-territory/hostilities-gaza-strip-and-israel-flash-update-114-enarhe"" target=""_blank"">OCHA</a><br>
<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br>
<a href=""https://english.wafa.ps/Pages/Details/141447"" target=""_blank"">Wafa</a><br>
<a href=""https://www.aa.com.tr/ar/%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84/%D8%A8%D8%B9%D8%AF-4-%D8%A3%D8%B4%D9%87%D8%B1-%D9%85%D9%86-%D8%AD%D8%B1%D8%A8-%D8%BA%D8%B2%D8%A9-%D9%87%D8%AC%D9%85%D8%A7%D8%AA-%D8%A8%D8%B1%D9%81%D8%AD-%D9%88%D8%A7%D9%84%D8%B9%D8%B7%D8%B4%D9%89-%D9%81%D9%8A-%D8%AF%D8%A7%D8%A6%D8%B1%D8%A9-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D8%A7%D9%81-%D8%AA%D9%82%D8%B1%D9%8A%D8%B1/3130795"" target=""_blank"">Anadolu</a><br>
<a href=""https://english.wafa.ps/Pages/Details/141444"" target=""_blank"">Wafa</a><br>
<a href=""https://x.com/QudsNen/status/1755235060746273083"" target=""_blank"">Quds</a><br>",,,,
14,incident,31.34827824,34.29392678,2024-02-08,8,8 killed,Israeli snipers shot people filling water jugs near Nasser Hospital in Khan Younis. ,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br>
<a href=""https://x.com/AJABreaking/status/1755562930211307729"" target=""_blank"">Al Jazeera</a><br>",,,,
15,incident,31.336548,34.317727,2024-02-08,4,"2 killed, 2 wounded","Israeli airstrike hit people waiting for aid trucks in Khan Younis. Sources report two killed and a number wounded. We recorded ""a number"" as two. ","<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a>",,,,
16,incident,31.47977,34.442282,2024-02-12,,No casualties reported,Israeli troops opened fire on people waiting for aid near the Kuwait Roundabout in Gaza City. No casualties were reported.,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br>
<a href=""https://twitter.com/qudsn/status/1756991308478984579"" target=""_blank"">Quds</a><br>",,,,
17,incident,31.47977,34.442282,2024-02-18,7,"5 killed, 2 wounded",Israeli troops opened fire on people waiting for aid near the Kuwait Roundabout in Gaza City. ,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://www.aljazeera.com/program/newsfeed/2024/2/19/israeli-army-fires-on-crowds-of-hungry-palestinians-waiting-for-aid"" target=""_blank"">Al Jazeera</a><br><a href=""https://twitter.com/AlMayadeenLive/status/175920121640219882"" target=""_blank"">Al Mayadeen</a><br><a href=""https://twitter.com/qudsn/status/1759189982948872326"" target=""_blank"">Quds</a>",,,,
18,incident,31.5027639,34.4145389,2024-02-18,3,"1 killed, 2 wounded",Israeli troops opened fire on people waiting for aid near the Nabulsi Roundabout in Gaza City. Sources report one killed and others wounded. We recorded two wounded. ,"<a href=""https://reliefweb.int/report/occupied-palestinian-territory/hostilities-gaza-strip-and-israel-flash-update-122-enarhe"" target=""_blank"">OCHA</a><br><a href=""https://twitter.com/QudsNen/status/1759226078663508145"" target=""_blank"">Quds</a>",,,,
19,incident,31.5027639,34.4145389,2024-02-19,11,"1 killed, 10 wounded","Israeli troops opened fire on people waiting for aid near the Nabulsi Roundabout in Gaza City. Reported number of wounded ranged from ""many"" to at least 10. We recorded 10. ","<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://www.aljazeera.com/news/2024/2/20/israeli-forces-kill-wound-palestinians-waiting-for-food-aid-in-gaza"" target=""_blank"">Al Jazeera</a><br><a href=""https://wafa.ps/Pages/Details/90429"" target=""_blank"">Wafa</a><br><a href=""https://twitter.com/AlarabyTV/status/1759629195682918627"" target=""_blank"">Alaraby TV</a><br><a href=""https://twitter.com/quds_feed/status/1759569579284550064"" target=""_blank"">Quds</a><br><a href=""https://twitter.com/QudsNen/status/1759836237341335922"" target=""_blank"">Quds</a>",,,,
20,incident,31.47977,34.442282,2024-02-19,8,"5 killed, 3 wounded",Israeli quadcopters shot people waiting for aid near the Kuwait Roundabout in Gaza City. Sources report five killed and several wounded.,"<a href=""https://reliefweb.int/report/occupied-palestinian-territory/hostilities-gaza-strip-and-israel-flash-update-122-enarhe"" target=""_blank"">OCHA</a>",,,,
21,incident,31.5168,34.4355,2024-02-20,2,2 killed,Israeli airstrike hit people waiting for aid west of Gaza City. ,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a>",,,,
22,incident,31.5027639,34.4145389,2024-02-22,102,"22 killed, 80 wounded",Israeli soldiers and tanks opened fire on a crowd of people waiting for aid near the Nabulsi roundabout at the same time as displaced people were moving south in the same area. Sources reported between 7 and 28 killed and between dozens and 80 people wounded. We recorded 22 killed and 80 wounded. ,"<a href=""https://t.me/QudsN/375119"" target=""_blank"">Quds</a><br>
<a href=""https://twitter.com/QudsNen/status/1760652226429596108"" target=""_blank"">Quds</a><br>
<a href=""https://euromedmonitor.org/en/article/6185/Israel-turns-%E2%80%98safe%E2%80%99-corridor-to-Gaza%E2%80%99s-south-into-trap-to-kill-hungry,-forcibly-displaced-Palestinians"" target=""_blank"">Euro-Med Monitor</a><br>
<a href=""https://twitter.com/ytirawi/status/1760686722663546935"" target=""_blank"">Younis Tirawi</a><br>",,,,
23,incident,31.5027639,34.4145389,2024-02-25,25,"10 killed, 15 wounded","In two separate incidents, Israeli troops opened fire on people waiting for aid near the Nabulsi Roundabout. Sources do not include a breakdown of casualties for each incident. A total of at least 10 people are killed and 15 wounded in both incidents. ","<a href=""https://reliefweb.int/report/occupied-palestinian-territory/hostilities-gaza-strip-and-israel-flash-update-127-enarhe"" target=""_blank"">OCHA</a><br><a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://twitter.com/AJA_Palestine/status/1761791189362127163"" target=""_blank"">Al Jazeera</a><br><a href=""https://drive.google.com/file/d/1P7yQYp7KC2eG711baOY9Ijwa5nht7a4B/view"" target=""_blank"">Euro-Med Monitor</a><br><a href=""https://euromedmonitor.org/en/article/6185/Israel-turns-%E2%80%98safe%E2%80%99-corridor-to-Gaza%E2%80%99s-south-into-trap-to-kill-hungry,-forcibly-displaced-Palestinians"" target=""_blank"">Euro-Med Monitor</a>",,,,
24,incident,31.504332,34.416062,2024-02-26,28,"4 killed, 24 wounded","Israeli troops opened fire on people waiting for aid on al-Rashid Street in Gaza City. Four killed and dozens wounded, according to sources. We recorded 24 wounded.  ","<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://twitter.com/QudsNen/status/1762140914275823895"" target=""_blank"">Quds</a><br><a href=""https://twitter.com/MustafaBarghou1/status/1762187186827296876"" target=""_blank"">Mustafa Barghouti</a><br><a href=""https://twitter.com/MiddleEastEye/status/1762251195442442648"" target=""_blank"">Middle East Eye</a>",,,,
