id,type,latitude,longitude,date,killedOrWounded,droneCount,killed,wounded,casualtyKnown,titleEN,titleFR,descriptionEN,descriptionFR,sources,imageUrl,imageCaptionEN,imageCaptionFR,videoUrl,videoCaption,department,commune,sectionCommunale,locality,identifiant
1,incident,18.55784607,-72.3303299,2025-03-01,7,2,5,2,TRUE,"5 killed, 2 wounded in Delmas 6","5 tués, 2 blessés à Delmas 6",PNH officers carried out an operation in the area for several hours. They killed at least five suspected criminals and wounded two others. Explosive drones were used by the PNH. The toll of material damage is not yet known.,Des agents de la PNH ont mené une opération dans la zone pendant plusieurs heures. Ils ont tué au moins cinq présumés criminels et blessé deux autres. Des drones explosifs ont été utilisés par la PNH.Le bilan des dégâts matériels n'est pour l'instant pas connu.,,,,,,,Ouest,Delmas,1re Section St Martin,Delmas 6,hti:ee2ffe14
2,incident,18.53722954,-72.35466003,2025-03-02,1,1,0,1,TRUE,1 wounded in Village de Dieu,1 blessé à Village de Dieu,"Officers from several specialised PNH units carried out an attack against the GCO base 5 Segonn. Using a explosive drone, ils have wounded the group's leader while he was organising of the carnival events.","Des agents de plusieurs unités spécialisées de la PNH ont mené une attaque contre la base du GCO 5 Segonn. Utilisant un drone explosif, ils ont blessé le chef de ce groupe alors qu'il organisait des activités carnavalesques.",,,,,,,Ouest,Port-au-Prince,3e Section Martissant,Village de Dieu,hti:8e1897c8
3,incident,18.53722954,-72.35466003,2025-03-07,3,2,3,0,TRUE,3 killed in Village de Dieu,3 tués à Village de Dieu,PNH officers used explosive-laden drones during d'a attaque in the area. At least three members of 5 Segonn were killed. The attackers have carried out of the return fire. The number of people wounded is not yet known. Of the houses were partially destroyed.,Des agents de la PNH ont utilisé des drones porteurs de charges explosives lors d'une attaque dans la zone. Au moins trois membres de 5 Segonn ont été tués. Les assaillants ont opéré des tirs de riposte. Le nombre de personnes blessées n'est pas encore connu. Des maisons ont été partiellement détruites.,,,,,,,Ouest,Port-au-Prince,3e Section Martissant,Village de Dieu,hti:6af6ec4e
4,incident,18.55784607,-72.3303299,2025-03-07,2,2,2,0,TRUE,2 killed in Delmas 6,2 tués à Delmas 6,PNH officers used explosive-laden drones during an operation. At least two members of G9 were shot dead. The members of GCO have carried out of the return fire. Of the houses were partially destroyed.,Des agents de la PNH ont utilisé des drones porteurs de charges explosives lors d'une opération. Au moins deux membres de G9 ont été abattus. Les membres du GCO ont opéré des tirs de riposte. Des maisons ont été partiellement détruites.,,,,,,,Ouest,Delmas,1re Section St Martin,Delmas 6,hti:7a8f6def
5,incident,18.54997063,-72.33616638,2025-03-07,1,2,1,0,TRUE,1 killed in Bel Air,1 tué à Bel Air,PNH officers used explosive-laden drones during an operation in the area. At least a member of GCO of Bel-Air was killed. The members of GCO have carried out of the return fire. Of the houses were partially destroyed.,Des agents de la PNH ont fait usage de drones porteurs de charges explosives lors d'une opération dans la zone. Au moins un membre du GCO de Bel-Air a été tué. Les membres du GCO ont opéré des tirs de riposte. Des maisons ont été partiellement détruites.,,,,,,,Ouest,Port-au-Prince,1re Section Turgeau,Bel Air,hti:8b5f5e5b
6,incident,18.56644249,-72.34699249,2025-03-07,1,2,1,0,TRUE,1 killed in Waaf Jérémie,1 tué à Waaf Jérémie,PNH officers used explosive-laden drones during an operation. At least a member of the criminal group was killed. Of the return fire have been carried outs by the members of this GCO. Houses were partially damaged.,Des agents de la PNH ont utilisé des drones porteurs de charges explosives lors d'une opération. Au moins un membre du groupe criminel a été tué. Des tirs de riposte ont été opérés par les membres de ce GCO. Des maisons ont été partiellement endommagées.,,,,,,,Ouest,Cité Soleil,2e Section des Varreux,Waaf Jérémie,hti:dd54fdc2
7,incident,18.5256958,-72.34008026,2025-03-12,0,2,0,0,FALSE,2 explosive drones in Carrefour-Feuilles,2 drones explosifs à Carrefour-Feuilles,"PNH officers used explosive drones and ouvert the feu on the members of GCO Gran Ravin, who were occupying a neighbourhood. The aim of the operation was of push back the attackers, but the toll n'a pas been released.","Des agents de la PNH ont utilisé des drones explosifs et ouvert le feu sur les membres du GCO Gran Ravin, qui occupaient un quartier. L'objectif de l'opération était de repousser les assaillants, mais le bilan n'a pas été communiqué.",,,,,,,Ouest,Port-au-Prince,1re Section Turgeau,Carrefour-Feuilles,hti:bad8f24e
8,incident,18.53722954,-72.35466003,2025-03-19,0,2,0,0,FALSE,2 explosive drones in Village de Dieu,2 drones explosifs à Village de Dieu,"PNH officers from various specialised units attacked the GCO base 5 Segonn. They also used drones loaded with explosives against the base, but the casualty toll and the material damage of this operation were not reported.","Des agents de la PNH, provenant de différentes unités spécialisées, ont attaqué la base du GCO 5 Segonn. Ils ont également utilisé des drones chargés d'explosifs contre la base, mais le bilan humain et les dommages matériels de cette opération n'ont pas été rapportés.",,,,,,,Ouest,Port-au-Prince,3e Section Martissant,Village de Dieu,hti:1f330d05
9,incident,18.54974365,-72.31231689,2025-03-19,0,1,0,0,FALSE,1 explosive drone in Delmas 30,1 drone explosif à Delmas 30,"PNH officers used a drone explosive-laden and have opened fire to push back the members of GCO who had occupied a neighbourhood for more than a month, but the toll of this operation was not reported.","Des agents de la PNH ont utilisé un drone à charge explosive et ont ouvert le feu pour repousser les membres du GCO qui avaient occupé un quartier depuis plus d'un mois, mais le bilan de cette opération n'a pas été rapporté.",,,,,,,Ouest,Delmas,1re Section St Martin,Delmas 30,hti:64e1daaa
10,incident,18.52639771,-72.35605621,2025-03-19,0,2,0,0,FALSE,2 explosive drones in Grand Ravine,2 drones explosifs à Grand Ravine,"PNH officers carried out an operation against the GCO base Gran Ravin. Of the explosive-laden drones were used, the putting them to flight.","Des membres de la PNH ont mené une opération contre la base du GCO Gran Ravin. Des drones porteurs de charges explosives ont été utilisés, les mettant en fuite.",,,,,,,Ouest,Port-au-Prince,3e Section Martissant,Grand Ravine,hti:7d3783cd
11,incident,18.55917168,-72.34253693,2025-03-23,0,2,0,0,FALSE,2 explosive drones in La Saline,2 drones explosifs à La Saline,Officers from several specialised PNH units attacked and launched drones carrying explosive charges against the GCO base Nan Chabon. Of the members of GCO were killed but the number is not known.,Des agents de plusieurs unités spécialisées de la PNH ont attaqué et lancé des drones portant des charges explosives contre la base du GCO Nan Chabon. Des membres de GCO ont été tués mais le nombre n'est pas connu.,,,,,,,Ouest,Port-au-Prince,1re Section Turgeau,La Saline,hti:1d22227b
12,incident,18.52422714,-72.34825134,2025-03-26,0,4,0,0,FALSE,4 explosive drones in Carrefour Feuilles,4 drones explosifs à Carrefour Feuilles,"Officers from various specialised PNH units, reinforcing a neighbourhood watch brigade, launched at least four explosive-laden drones against members of GCO Gran Ravin. The intervention aimed à push back the attackers who were occupying various places of ce neighbourhood, prompting residents to flee. The casualty toll and the material damage of this attack were not reported.","Des agents des différentes unités spécialisées de la PNH, venus en renfort d'une brigade de vigilance, ont lancé au moins quatre drones à charge explosive contre des membres du GCO Gran Ravin. Cette intervention visait à repousser les assaillants qui occupaient différents endroits de ce quartier, provoquant la fuite des habitants. Le bilan humain et les dommages matériels de cette attaque n'ont pas été rapportés.",,,,,,,Ouest,Port-au-Prince,3e Section Martissant,Carrefour Feuilles,hti:2b33ae7c
13,incident,18.53722954,-72.35466003,2025-03-29,0,2,0,0,FALSE,2 explosive drones in Village de Dieu,2 drones explosifs à Village de Dieu,Officers from various specialised PNH units attacked and launched at least two explosive-laden drones against the GCO base 5 Segonn. The casualty toll and the material damage of this attack were not reported.,Des agents des différentes unités spécialisées de la PNH ont attaqué et lancé au moins deux drones à charge explosive contre la base du GCO 5 Segonn. Le bilan humain et les dégâts matériels de cette attaque n'ont pas été rapportés.,,,,,,,Ouest,Port-au-Prince,3e Section Martissant,Village de Dieu,hti:bc0371f0
14,incident,18.53722954,-72.35466003,2025-04-14,0,6,0,0,FALSE,6 explosive drones in Village de Dieu,6 drones explosifs à Village de Dieu,"PNH officers again launched at least six explosive drones and opened fire toward the GCO base 5 Segonn. The latter, avant of flee, fought back for several hours.","Des agents de la PNH ont à nouveau lancé au moins six drones explosifs et ont ouvert le feu en direction de la base du GCO 5 Segonn. Ces derniers, avant de prendre la fuite, ont riposté pendant plusieurs heures.",,,,,,,Ouest,Port-au-Prince,3e Section Martissant,Village de Dieu,hti:6960d0ea
15,incident,18.44948387,-72.28664398,2025-04-19,0,17,0,0,FALSE,17 explosive drones in Kenscoff,17 drones explosifs à Kenscoff,"Officers from various specialised PNH units launched at least 17 explosive drones against positions of the members of GCO Gran Ravin, who were trying to advance toward downtown.","Des agents de différentes unités spécialisées de la PNH ont lancé au moins 17 drones explosifs contre les positions des membres du GCO Gran Ravin, qui tentaient de progresser vers le centre-ville.",,,,,,,Ouest,Kenscoff,3e Section Sourcailles,Kenscoff,hti:f4230ec5
16,incident,18.52924156,-72.32738495,2025-04-23,0,3,0,0,FALSE,3 explosive drones in Pacot,3 drones explosifs à Pacot,At least three explosive drones have been deployed by of the agents of the PNH against members of GCO Gran Ravin.,Au moins trois drones explosifs ont été déployés par des agents de la PNH contre les membres du GCO Gran Ravin.,,,,,,,Ouest,Port-au-Prince,1re Section Turgeau,Pacot,hti:dd653f4a
17,incident,18.53993416,-72.32312775,2025-04-27,0,2,0,0,FALSE,2 explosive drones in Christ Roi,2 drones explosifs à Christ Roi,PNH officers launched explosive drones toward of the members of GCO Bel-Air who were trying to advance toward a neighbourhood.,Des agents de la PNH ont lancé des drones explosifs en direction des membres du GCO Bel-Air qui tentaient de progresser vers un quartier.,,,,,,,Ouest,Port-au-Prince,1re Section Turgeau,Christ Roi,hti:b7fdd442
18,incident,18.52995682,-72.32798767,2025-04-28,0,2,0,0,FALSE,2 explosive drones in Pacot,2 drones explosifs à Pacot,PNH officers launched at least two explosive drones against members of GCO Gran Ravin.,Des agents de la PNH ont lancé au moins deux drones explosifs contre des membres du GCO Gran Ravin.,,,,,,,Ouest,Port-au-Prince,1re Section Turgeau,Pacot,hti:a7f8a0da
19,incident,18.53456306,-72.32989502,2025-04-29,0,2,0,0,FALSE,2 explosive drones in Pacot,2 drones explosifs à Pacot,Of the agents of the PNH deployed à bord of armoured vehicles have launched at least two explosive drones toward of the members of GCO Gran Ravin who were advancing toward a neighbourhood.,Des agents de la PNH déployés à bord de véhicules blindés ont lancé au moins deux drones explosifs en direction des membres du GCO Gran Ravin qui avançaient vers un quartier.,,,,,,,Ouest,Port-au-Prince,1re Section Turgeau,Pacot,hti:8d520c07
20,incident,18.45088768,-72.29759216,2025-05-01,0,4,0,0,FALSE,4 explosive drones in Via,4 drones explosifs à Via,"Officers from various specialised PNH units launched at least four explosive drones against positions of the members of a GCO coalition, including 5 Segonn.","Des agents de différentes unités spécialisées de la PNH ont lancé au moins quatre drones explosifs contre les positions des membres d'une coalition de GCO, dont 5 Segonn.",,,,,,,Ouest,Kenscoff,3e Section Sourcailles,Via,hti:7adce29b
21,incident,18.52534676,-72.35220337,2025-05-03,0,4,0,0,FALSE,4 explosive drones in Fort-Mercredi,4 drones explosifs à Fort-Mercredi,PNH officers attacked and launched at least four explosive drones against the GCO base Gran Ravin.,Des agents de la PNH ont attaqué et lancé au moins quatre drones explosifs contre la base du GCO Gran Ravin.,,,,,,,Ouest,Port-au-Prince,3e Section Martissant,Fort-Mercredi,hti:0c501f0a
22,incident,18.52924156,-72.32738495,2025-05-06,0,4,0,0,FALSE,4 explosive drones in Pacot,4 drones explosifs à Pacot,PNH officers attacked by launching at least four explosive drones toward of the members of GCO Gran Ravin.,Des agents de la PNH ont attaqué en lançant au moins quatre drones explosifs en direction des membres du GCO Gran Ravin.,,,,,,,Ouest,Port-au-Prince,1re Section Turgeau,Pacot,hti:67f22b35
